female,from 20 to 29,student,less than 40 million vnd,rarely,take away,below 30 minutes,1km - 3km,yes,coffee,"less than 100,000 vnd",4,3,4,4,4,4,3,social media,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
female,from 20 to 29,student,less than 40 million vnd,rarely,take away,below 30 minutes,within 1km,yes,coffee,"less than 100,000 vnd",5,2,5,5,5,5,2,social media;through friends and word of mouth;in store displays,no,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
female,from 20 to 29,employed,less than 40 million vnd,rarely,take away,between 30 minutes to 1 hour,more than 3km,yes,coffee,"less than 100,000 vnd",4,1,5,4,3,4,4,starbucks website/apps,no,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
male,from 30 to 39,employed,80 million vnd - 160 million vnd,monthly,take away,below 30 minutes,within 1km,yes,coffee,"around 100,000 vnd - 200,000 vnd",4,3,3,4,3,3,3,social media,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
male,from 20 to 29,employed,less than 40 million vnd,rarely,dine in,below 30 minutes,within 1km,yes,coffee,"less than 100,000 vnd",4,4,4,4,4,4,4,social media;through friends and word of mouth,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
male,from 20 to 29,employed,40 million vnd - 80 million vnd,weekly,take away,below 30 minutes,1km - 3km,yes,coffee,"around 100,000 vnd - 200,000 vnd",4,3,4,5,5,5,5,starbucks website/apps;social media;emails;through friends and word of mouth,yes,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
female,from 20 to 29,self-employed,80 million vnd - 160 million vnd,rarely,take away,below 30 minutes,1km - 3km,yes,cold drinks,"less than 100,000 vnd",3,4,3,4,3,4,2,emails,yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
male,from 30 to 39,employed,160 million vnd - 320 million vnd,rarely,take away,below 30 minutes,within 1km,yes,coffee,"around 100,000 vnd - 200,000 vnd",2,2,5,3,3,4,3,social media;emails,no,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
female,from 20 to 29,employed,less than 40 million vnd,rarely,dine in,below 30 minutes,within 1km,no,coffee,"around 100,000 vnd - 200,000 vnd",5,3,4,3,3,4,5,social media,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
male,from 20 to 29,employed,40 million vnd - 80 million vnd,rarely,dine in,more than 3 hours,within 1km,no,coffee,"less than 100,000 vnd",5,2,5,5,2,4,3,through friends and word of mouth,no,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
female,from 20 to 29,student,less than 40 million vnd,monthly,take away,between 1 hour to 2 hours,1km - 3km,yes,cold drinks;pastries;sandwiches,"less than 100,000 vnd",5,4,4,5,4,4,3,social media;through friends and word of mouth,yes,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
male,40 and above,self-employed,160 million vnd - 320 million vnd,rarely,dine in,between 1 hour to 2 hours,more than 3km,no,coffee;juices;pastries;sandwiches,"around 100,000 vnd - 200,000 vnd",4,3,4,4,3,3,5,through friends and word of mouth;in store displays,yes,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
male,from 30 to 39,employed,more than 320 million vnd,monthly,dine in,between 30 minutes to 1 hour,1km - 3km,yes,coffee;cold drinks,"around 100,000 vnd - 200,000 vnd",4,3,1,4,4,5,4,social media;in store displays;billboards,yes,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
male,from 30 to 39,employed,more than 320 million vnd,rarely,take away,below 30 minutes,1km - 3km,no,coffee,"less than 100,000 vnd",4,2,4,4,4,4,2,application offer,no,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
male,from 20 to 29,self-employed,less than 40 million vnd,monthly,take away,below 30 minutes,more than 3km,no,coffee,"around 100,000 vnd - 200,000 vnd",5,3,4,4,3,4,3,social media,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
male,40 and above,self-employed,more than 320 million vnd,weekly,take away,below 30 minutes,1km - 3km,yes,coffee,"more than 200,000 vnd",4,5,3,3,3,4,5,starbucks website/apps;social media;through friends and word of mouth;in store displays,yes,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
female,from 20 to 29,employed,80 million vnd - 160 million vnd,rarely,dine in,between 30 minutes to 1 hour,1km - 3km,yes,coffee,"less than 100,000 vnd",5,5,5,5,3,5,5,starbucks website/apps;social media;emails;through friends and word of mouth,yes,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
female,from 20 to 29,employed,40 million vnd - 80 million vnd,monthly,take away,between 30 minutes to 1 hour,more than 3km,yes,coffee;pastries;sandwiches,"around 100,000 vnd - 200,000 vnd",3,1,4,4,3,4,4,starbucks website/apps;social media;emails;through friends and word of mouth,yes,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
female,from 20 to 29,employed,80 million vnd - 160 million vnd,weekly,take away,below 30 minutes,within 1km,yes,coffee;pastries,"around 100,000 vnd - 200,000 vnd",4,3,3,3,2,3,4,in store displays,yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
female,from 30 to 39,employed,40 million vnd - 80 million vnd,rarely,take away,below 30 minutes,more than 3km,no,coffee,"around 100,000 vnd - 200,000 vnd",2,3,5,5,3,5,5,social media,yes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
female,from 20 to 29,employed,40 million vnd - 80 million vnd,rarely,dine in,between 30 minutes to 1 hour,1km - 3km,yes,coffee,"less than 100,000 vnd",3,2,3,3,3,4,3,social media,no,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
female,from 20 to 29,employed,40 million vnd - 80 million vnd,rarely,take away,below 30 minutes,within 1km,no,coffee,"less than 100,000 vnd",3,4,4,3,4,4,3,social media;through friends and word of mouth;billboards,yes,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0
female,from 20 to 29,student,less than 40 million vnd,rarely,take away,below 30 minutes,more than 3km,no,coffee,"less than 100,000 vnd",4,2,4,4,3,4,1,social media,no,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
female,from 20 to 29,self-employed,less than 40 million vnd,rarely,take away,below 30 minutes,within 1km,no,cold drinks,"less than 100,000 vnd",3,3,4,4,5,5,2,social media,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0
male,below 20,student,less than 40 million vnd,rarely,dine in,between 1 hour to 2 hours,more than 3km,no,coffee,"less than 100,000 vnd",5,2,3,4,4,3,5,starbucks website/apps;social media,yes,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
male,from 20 to 29,employed,less than 40 million vnd,rarely,take away,below 30 minutes,more than 3km,yes,cold drinks;juices;pastries,"around 100,000 vnd - 200,000 vnd",4,4,4,4,4,4,4,in store displays,yes,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
male,from 30 to 39,employed,80 million vnd - 160 million vnd,rarely,take away,below 30 minutes,within 1km,yes,coffee,"less than 100,000 vnd",3,2,5,3,3,5,3,starbucks website/apps;social media,yes,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
male,from 20 to 29,employed,less than 40 million vnd,monthly,dine in,between 30 minutes to 1 hour,within 1km,yes,coffee,"around 100,000 vnd - 200,000 vnd",5,4,5,5,3,5,5,starbucks website/apps;social media,yes,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
